Date;Nieuwe Besmettingen;Totaal Besmettingen;Totaal Kliniek;Nieuw Kliniek;Totaal IC;Nieuw IC;Nieuwe Doden;Totaal Doden
De coronacijfers van 7 maart 2021;4567;1120075;1319;89;550;30;30;15833
De coronacijfers van 6 maart 2021;5378;1115549;1340;121;549;31;42;15803
De coronacijfers van 5 maart 2021;4727;1110213;1376;200;556;39;32;15762
De coronacijfers van 4 maart 2021;4161;1105544;1362;130;557;32;33;15730
De coronacijfers van 3 maart 2021;5090;1101430;1422;165;551;48;48;15697
De coronacijfers van 2 maart 2021;4032;1096433;1430;260;544;54;66;15649
De coronacijfers van 1 maart 2021;3826;1092452;1405;187;533;40;22;15584
De coronacijfers van 28 februari 2021;4729;1088690;1359;122;526;30;21;15563
De coronacijfers van 27 februari 2021;4993;1084021;1374;152;517;20;41;15543
De coronacijfers van 26 februari 2021;5151;1079084;1397;152;530;41;65;15503
De coronacijfers van 25 februari 2021;5048;1073971;1442;195;537;41;33;15436
De coronacijfers van 24 februari 2021;4420;1068960;1460;151;536;14;63;15406
De coronacijfers van 23 februari 2021;3846;1064598;1496;223;545;40;94;15343
De coronacijfers van 22 februari 2021;4217;1060801;1411;454;544;45;32;15249
De coronacijfers van 21 februari 2021;4720;1056639;1379;109;531;45;17;15217
De coronacijfers van 20 februari 2021;4604;1051965;1403;122;516;57;62;15200
De coronacijfers van 19 februari 2021;4761;1047400;1468;203;509;29;50;15138
De coronacijfers van 18 februari 2021;4618;1042674;1468;165;524;31;74;15089
De coronacijfers van 17 februari 2021;3416;1038156;1481;201;530;43;89;15017
De coronacijfers van 16 februari 2021;2735;1034795;1519;217;523;30;88;14929
De coronacijfers van 15 februari 2021;2875;1032094;1493;185;534;37;27;14843
De coronacijfers van 14 februari 2021;3497;1029284;1506;139;521;28;23;14816
De coronacijfers van 13 februari 2021;4229;1025837;1499;136;518;56;67;14793
De coronacijfers van 12 februari 2021;4385;1021643;1499;164;527;29;66;14727
De coronacijfers van 11 februari 2021;4472;1017302;1499;209;525;33;74;14662
De coronacijfers van 10 februari 2021;3226;1012908;1582;194;525;20;78;14589
De coronacijfers van 9 februari 2021;1779;1009725;1567;219;533;29;85;14511
De coronacijfers van 8 februari 2021;2273;1007981;1604;196;530;35;25;14428
De coronacijfers van 7 februari 2021;3963;1005760;1540;109;521;12;48;14403
De coronacijfers van 6 februari 2021;4130;1001826;1563;139;546;18;61;14355
De coronacijfers van 5 februari 2021;4365;997751;1603;182;571;24;60;14294
De coronacijfers van 4 februari 2021;4246;993430;1598;158;597;29;67;14234
De coronacijfers van 3 februari 2021;4060;985224;1661;174;615;33;62;14169
De coronacijfers van 2 februari 2021;3592;985224;1707;261;631;31;83;14108
De coronacijfers van 1 februari 2021;3280;981663;1724;197;642;34;27;14025
